s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
19207	6	6	19	6	1	0.556	0.557	45	16	78	90	835	835	26720	789	46	53	232	226	331	816	17477	37	0	46	53	2	14	0.015
19267	6	6	4	0	1	0.035	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
19435	6	6	5	0	1	0.096	0.096	17	10	23	24	112	112	3584	110	2	2	38	30	42	64	4114	6	1	2	2	0	0	0.000
19533	6	6	6	0	1	0.767	0.767	71	13	81	92	901	901	28832	847	54	55	311	227	309	853	32500	57	0	54	55	9	23	0.018
19688	2	2	7	0	1	0.075	0.075	8	4	8	8	128	128	4096	127	1	2	36	3	88	109	1972	2	1	1	2	1	1	0.001
20031	6	0	18	6	1	0.522	0.522	41	13	78	63	866	866	27712	826	40	41	320	155	351	668	15971	39	0	40	41	8	49	0.018
20234	6	2	38	6	1	0.505	0.506	37	12	66	46	1114	1114	35648	1080	34	41	261	335	484	1032	7658	30	0	34	41	6	16	0.013
20428	2	2	33	0	1	0.290	0.290	27	9	27	19	509	509	16288	495	14	21	119	123	253	298	8265	13	0	14	21	3	9	0.007
20534	6	0	12	6	1	0.343	0.343	37	14	70	63	754	754	24128	720	34	38	264	144	312	560	5024	33	0	34	38	8	36	0.015
20546	6	6	5	0	1	0.077	0.077	13	6	19	20	90	90	2880	87	3	3	33	19	35	42	3220	6	2	3	3	1	1	0.001
20549	6	6	6	0	1	0.066	0.065	8	3	15	16	75	75	2400	73	2	2	27	9	37	23	2878	4	2	2	2	1	1	0.001
20567	6	6	7	0	1	0.232	0.232	42	7	56	56	381	381	12192	351	30	31	99	163	89	317	5426	37	0	30	31	1	1	0.007
20574	6	2	7	6	1	0.204	0.204	33	15	54	35	438	438	14016	418	20	22	167	41	210	124	2846	17	0	20	22	7	20	0.009
20757	6	2	7	4	1	0.355	0.355	46	18	60	79	808	808	25856	775	33	35	302	181	292	418	4402	29	0	33	35	10	36	0.015
