R 22 12 256 481127 90113 427981241 119 66 278834
R 22 12 512 383451 88637 425886707 115 65 277371
R 22 12 1024 255984 87961 424884193 115 65 277371
R 22 13 1 885228 90863 429003715 120 67 280728
R 22 13 2 884670 90863 429003715 120 67 280728
R 22 13 4 881452 90863 429003715 120 67 280728
R 22 13 8 878738 90863 429003715 120 67 280728
R 22 13 16 871305 90863 429003715 120 67 280728
R 22 13 32 852578 90859 428999300 120 67 280728
R 22 13 64 812579 90859 428999300 120 67 280728
R 22 13 128 758200 90859 428999300 120 67 280728
R 22 13 256 658918 90859 428999300 120 67 280728
R 22 13 512 588734 90859 428999300 120 67 280728
R 22 13 1024 495774 90859 428999300 120 67 280728
R 22 14 1 908175 91111 429308703 120 67 280728
R 22 14 2 907645 91038 429228541 120 67 280728
R 22 14 4 906232 91038 429228541 120 67 280728
R 22 14 8 904595 91038 429228541 120 67 280728
R 22 14 16 904003 91038 429228541 120 67 280728
R 22 14 32 903100 91038 429228541 120 67 280728
R 22 14 64 894958 90870 429015573 120 67 280728
R 22 14 128 878063 90864 429004790 120 67 280728
R 22 14 256 829011 90864 429004790 120 67 280728
R 22 14 512 750395 90864 429004790 120 67 280728
R 22 14 1024 679292 90864 429004790 120 67 280728
R 23 10 1 15854 16 33877 0 0 0
R 23 10 2 8776 16 33877 0 0 0
R 23 10 4 5153 0 0 0 0 0
R 23 10 8 1891 0 0 0 0 0
R 23 10 16 571 0 0 0 0 0
R 23 10 32 210 0 0 0 0 0
R 23 10 64 135 0 0 0 0 0
R 23 10 128 0 0 0 0 0 0
R 23 10 256 0 0 0 0 0 0
R 23 10 512 0 0 0 0 0 0
R 23 10 1024 0 0 0 0 0 0
R 23 11 1 214125 2347 3216521 10 7 8620
R 23 11 2 203806 2347 3216521 10 7 8620
R 23 11 4 183135 2331 3182644 10 7 8620
R 23 11 8 155443 2330 3181260 10 7 8620
R 23 11 16 114443 1992 2741814 9 7 8620
R 23 11 32 88778 819 1318204 4 2 2520
R 23 11 64 60365 819 1318204 4 2 2520
R 23 11 128 31411 552 973515 4 2 2520
R 23 11 256 5195 151 193750 2 2 2520
R 23 11 512 3085 151 193750 2 2 2520
R 23 11 1024 407 109 149596 1 1 1452
R 23 12 1 502157 87917 425630327 114 63 276434
R 23 12 2 495870 87917 425630327 114 63 276434
R 23 12 4 480807 87917 425630327 114 63 276434
R 23 12 8 464303 87917 425630327 114 63 276434
R 23 12 16 442508 87917 425630327 114 63 276434
R 23 12 32 401159 87917 425630327 114 63 276434
R 23 12 64 361200 87497 425078385 114 63 276434
R 23 12 128 302907 87497 425078385 114 63 276434
R 23 12 256 247738 87175 424616622 113 62 274540
R 23 12 512 190734 85699 422522088 109 61 273077
R 23 12 1024 147406 85023 421519574 109 61 273077
R 23 13 1 548571 87925 425639096 114 63 276434
R 23 13 2 548013 87925 425639096 114 63 276434
R 23 13 4 544811 87925 425639096 114 63 276434
R 23 13 8 542322 87925 425639096 114 63 276434
R 23 13 16 535276 87925 425639096 114 63 276434
R 23 13 32 518774 87921 425634681 114 63 276434
R 23 13 64 483237 87921 425634681 114 63 276434
R 23 13 128 442875 87921 425634681 114 63 276434
R 23 13 256 365801 87921 425634681 114 63 276434
R 23 13 512 321976 87921 425634681 114 63 276434
R 23 13 1024 262835 87921 425634681 114 63 276434
R 23 14 1 571518 88173 425944084 114 63 276434
R 23 14 2 570988 88100 425863922 114 63 276434
R 23 14 4 569575 88100 425863922 114 63 276434
R 23 14 8 567944 88100 425863922 114 63 276434
R 23 14 16 567371 88100 425863922 114 63 276434
R 23 14 32 566498 88100 425863922 114 63 276434
R 23 14 64 559027 87932 425650954 114 63 276434
R 23 14 128 544023 87926 425640171 114 63 276434
R 23 14 256 500950 87926 425640171 114 63 276434
R 23 14 512 439341 87926 425640171 114 63 276434
R 23 14 1024 388079 87926 425640171 114 63 276434
R 24 10 1 1102 16 33877 0 0 0
R 24 10 2 306 16 33877 0 0 0
R 24 10 4 32 0 0 0 0 0
R 24 10 8 20 0 0 0 0 0
R 24 10 16 0 0 0 0 0 0
R 24 10 32 0 0 0 0 0 0
R 24 10 64 0 0 0 0 0 0
R 24 10 128 0 0 0 0 0 0
R 24 10 256 0 0 0 0 0 0
R 24 10 512 0 0 0 0 0 0
R 24 10 1024 0 0 0 0 0 0
R 24 11 1 39540 2228 3072742 8 5 6100
R 24 11 2 33961 2228 3072742 8 5 6100
R 24 11 4 27167 2212 3038865 8 5 6100
R 24 11 8 22287 2211 3037481 8 5 6100
R 24 11 16 11109 1873 2598035 7 5 6100
R 24 11 32 5610 702 1176489 2 0 0
R 24 11 64 3902 702 1176489 2 0 0
R 24 11 128 2527 435 831800 2 0 0
R 24 11 256 35 34 52035 0 0 0
R 24 11 512 34 34 52035 0 0 0
R 24 11 1024 34 34 52035 0 0 0
R 24 12 1 257848 84757 421660617 108 57 269150
R 24 12 2 252067 84757 421660617 108 57 269150
R 24 12 4 238253 84757 421660617 108 57 269150
R 24 12 8 224260 84757 421660617 108 57 269150
R 24 12 16 209192 84757 421660617 108 57 269150
R 24 12 32 184778 84757 421660617 108 57 269150
R 24 12 64 165874 84337 421108675 108 57 269150
R 24 12 128 134767 84337 421108675 108 57 269150
R 24 12 256 117160 84015 420646912 107 56 267256
R 24 12 512 96100 82539 418552378 103 55 265793
R 24 12 1024 89822 81863 417549864 103 55 265793
R 24 13 1 303863 84765 421669386 108 57 269150
R 24 13 2 303318 84765 421669386 108 57 269150
R 24 13 4 300377 84765 421669386 108 57 269150
R 24 13 8 298289 84765 421669386 108 57 269150
R 24 13 16 291674 84765 421669386 108 57 269150
