s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
40983	6	6	17	0	1	0.180	0.180	30	19	364	364	11648	353	11	12	131	112	110	447	4937	10	1	11	12	5	5	0.004
40985	6	6	16	4	1	12.097	0.914	82	23	1526	1526	48832	1410	116	130	520	487	403	1382	25684	63	0	116	130	17	32	0.037
41033	2	2	15	2	1	3.167	0.544	61	21	815	815	26080	748	67	83	264	195	289	600	14237	35	0	67	83	7	19	0.023
41512	4	0	32	4	1	0.512	0.512	37	12	796	796	25472	749	47	84	204	101	444	904	14539	20	0	47	84	11	46	0.027
41607	6	0	28	6	1	0.810	0.810	45	15	1126	1126	36032	1055	71	117	367	195	493	1072	29331	41	0	71	117	12	45	0.034
41649	6	6	6	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
41830	6	0	22	6	1	11.728	1.008	49	14	1283	1283	41056	1204	79	132	410	326	468	948	39755	46	0	79	132	5	43	0.037
41857	6	6	5	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
43097	4	4	18	4	1	1.591	0.767	45	19	1105	1105	35360	1068	37	56	320	309	439	1964	24636	21	0	37	56	5	10	0.029
43438	6	6	2	0	1	0.032	0.032	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
44634	4	0	95	4	1	0.229	0.229	25	12	521	521	16672	493	28	47	129	98	266	244	2012	8	0	28	47	1	2	0.011
45011	6	0	27	6	1	0.401	0.401	41	14	881	881	28192	814	67	81	157	304	353	1112	3345	39	0	67	81	6	20	0.022
45315	6	6	2	0	1	0.033	0.033	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
45491	6	6	3	0	1	0.038	0.038	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
45513	6	6	7	0	1	0.039	0.038	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
46267	6	6	9	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
47349	6	6	15	0	1	0.590	0.590	28	5	794	794	25408	744	50	76	284	179	281	483	24052	35	0	50	76	6	9	0.019
47365	6	6	25	6	1	0.972	0.972	61	23	1387	1387	44384	1296	91	154	485	296	515	1556	34953	53	0	91	154	14	44	0.042
